City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
173,Mulbagal,IN,13.1667,78.4,72.23,86,95,11.88,overcast clouds,2021-11-29 09:41:42
174,Gazanjyk,TM,39.2446,55.5154,60.49,34,100,7.38,overcast clouds,2021-11-29 09:41:43
175,Muisne,EC,0.6,-80.0333,74.52,89,100,13.6,light rain,2021-11-29 09:41:43
176,Lorengau,PG,-2.0226,147.2712,82.0,78,46,4.05,scattered clouds,2021-11-29 09:41:44
177,Ostrovnoy,RU,68.0531,39.5131,11.05,77,91,8.46,overcast clouds,2021-11-29 09:35:17
178,Tucumcari,US,35.1717,-103.725,43.93,41,0,5.46,clear sky,2021-11-29 09:41:44
179,Tobol,KZ,52.6844,62.5794,20.8,87,94,5.26,overcast clouds,2021-11-29 09:41:45
180,Seoul,KR,37.5683,126.9778,49.12,55,50,2.39,scattered clouds,2021-11-29 09:40:00
181,The Valley,AI,18.217,-63.0578,80.56,74,5,16.2,clear sky,2021-11-29 09:41:46
182,Yar-Sale,RU,66.8333,70.8333,5.38,95,100,16.58,light snow,2021-11-29 09:41:46
183,Thinadhoo,MV,0.5333,72.9333,82.22,73,25,18.37,scattered clouds,2021-11-29 09:41:46
184,Puerto Del Rosario,ES,28.5004,-13.8627,65.35,60,20,26.55,few clouds,2021-11-29 09:41:47
185,Hay River,CA,60.8156,-115.7999,0.91,92,100,12.57,overcast clouds,2021-11-29 09:42:47
186,Saint-Joseph,RE,-21.3667,55.6167,76.33,82,54,7.36,light rain,2021-11-29 09:42:48
187,Acarau,BR,-2.8856,-40.12,82.56,71,100,13.89,overcast clouds,2021-11-29 09:41:26
188,Hami,CN,42.8,93.45,28.96,54,0,2.21,clear sky,2021-11-29 09:42:48
189,Beidao,CN,34.5686,105.8933,39.58,42,0,5.91,clear sky,2021-11-29 09:42:49
190,Port Macquarie,AU,-31.4333,152.9167,67.77,81,48,4.83,scattered clouds,2021-11-29 09:42:49
191,Lavrentiya,RU,65.5833,-171.0,-11.34,91,12,7.56,few clouds,2021-11-29 09:42:49
192,Havoysund,NO,70.9963,24.6622,19.47,79,90,13.15,overcast clouds,2021-11-29 09:42:50
193,Cockburn Town,TC,21.4612,-71.1419,80.1,70,8,11.65,clear sky,2021-11-29 09:42:50
194,Segovia,ES,41.1667,-4.0,40.91,85,100,15.3,overcast clouds,2021-11-29 09:42:51
195,Husavik,IS,66.0449,-17.3389,26.78,89,100,8.86,light snow,2021-11-29 09:42:51
196,Kodiak,US,57.79,-152.4072,23.31,92,100,17.63,snow,2021-11-29 09:40:04
197,Sorland,NO,67.667,12.6934,34.52,52,100,13.27,light rain,2021-11-29 09:42:52
198,Kabelvag,NO,68.2114,14.4817,30.76,54,75,8.95,light snow,2021-11-29 09:42:52
199,Naze,JP,28.3667,129.4833,67.06,63,74,14.65,broken clouds,2021-11-29 09:42:53
200,Kurchum,KZ,48.5722,83.6542,14.81,81,6,3.15,clear sky,2021-11-29 09:42:53
201,Beloha,MG,-25.1667,45.05,93.76,23,13,6.38,few clouds,2021-11-29 09:42:54
202,Yarada,IN,17.65,83.2667,79.81,60,60,12.21,broken clouds,2021-11-29 09:42:54
203,Bato,PH,13.3528,123.3677,79.09,85,92,2.53,overcast clouds,2021-11-29 09:42:55
204,Cayenne,GF,4.9333,-52.3333,77.0,89,92,6.42,overcast clouds,2021-11-29 09:42:55
205,Severo-Kurilsk,RU,50.6789,156.125,31.24,79,100,6.98,overcast clouds,2021-11-29 09:38:58
206,Tamiahua,MX,21.2667,-97.45,67.26,73,100,10.69,overcast clouds,2021-11-29 09:42:56
207,Sydney,AU,-33.8679,151.2073,63.45,78,2,7.43,clear sky,2021-11-29 09:38:12
208,Preobrazheniye,RU,42.9019,133.9064,38.66,83,20,8.01,few clouds,2021-11-29 09:42:56
209,Rusape,ZW,-18.5278,32.1284,85.8,25,5,9.22,clear sky,2021-11-29 09:42:57
210,Yerbogachen,RU,61.2767,108.0108,7.21,97,100,1.74,overcast clouds,2021-11-29 09:42:57
211,Raton,US,36.9034,-104.4391,41.76,43,0,3.8,clear sky,2021-11-29 09:42:58
212,Lyubymivka,UA,46.8106,33.5686,56.05,70,100,17.11,overcast clouds,2021-11-29 09:42:58
213,Asau,RO,46.4333,26.4,48.4,79,100,9.24,overcast clouds,2021-11-29 09:42:59
214,Pasni,PK,25.2631,63.471,78.87,44,0,7.4,clear sky,2021-11-29 09:42:59
215,Kavaratti,IN,10.5669,72.642,81.37,80,85,15.48,overcast clouds,2021-11-29 09:43:00
216,Rawson,AR,-43.3002,-65.1023,61.11,46,15,18.61,few clouds,2021-11-29 09:40:49
217,Pacific Grove,US,36.6177,-121.9166,58.68,64,0,6.15,clear sky,2021-11-29 09:43:00
218,Basco,PH,20.4487,121.9702,74.64,93,99,34.99,overcast clouds,2021-11-29 09:43:01
219,Barguzin,RU,53.6167,109.6167,13.14,95,87,4.43,light snow,2021-11-29 09:43:01
220,Mabaruma,GY,8.2,-59.7833,72.09,98,100,1.5,overcast clouds,2021-11-29 09:43:02
